,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
84,-15.345393,-20.109907,44.10667,-9.856808,-13.646111,-3.1563203,-5.2377143,-7.508463,12.350325,28.26344,15.309849,-7.3657146,2.9188974,-19.089249,5.4441075,-9.66543
85,-14.373996,-17.83731,43.61252,-12.925592,-14.423503,-2.0267818,-6.0884075,-11.321242,12.214088,29.468275,16.813564,-8.841622,0.7646141,-17.45201,5.3754635,-11.239967
86,-14.409426,-21.996338,44.041515,-10.304053,-12.628066,-0.91122043,-5.6288757,-6.424349,14.448955,27.761845,15.022298,-6.674921,4.9253726,-18.932074,3.2910793,-8.305263
87,-15.624895,-20.84115,42.705544,-11.163174,-11.125177,-2.3819406,-7.596511,-7.7582345,11.076955,27.307932,13.792403,-6.201534,4.648703,-17.70342,5.151368,-8.551015
88,-11.389713,-28.535496,44.223087,-12.358369,-10.553007,1.8409797,-11.348987,-4.4803195,20.42045,26.830885,16.221634,-8.114649,9.591183,-20.431866,1.3151865,-7.1128197
89,-15.580573,-22.47247,43.822292,-11.818566,-11.834203,-2.2956166,-9.083838,-7.5448027,12.542697,27.784071,15.267303,-6.9429455,4.9298105,-18.27992,5.0827007,-8.68978
90,-15.689601,-20.99526,42.815712,-11.292351,-11.01205,-2.411879,-7.8159847,-7.8336864,11.057517,27.371464,13.7533655,-6.2367444,4.773296,-17.763094,5.2226076,-8.598068
91,-15.267731,-22.194101,43.42553,-11.412288,-12.17151,-2.3073776,-8.743117,-7.141119,12.763149,27.543993,15.483618,-6.9559517,4.6447153,-18.192444,5.0180163,-8.500886
92,-15.685698,-20.8363,42.706875,-11.047424,-11.115845,-2.48501,-7.5307164,-7.692555,11.001507,27.268583,13.726933,-6.176501,4.6593533,-17.754189,5.2104855,-8.564813
93,-15.663343,-21.69276,43.293217,-11.403269,-11.484569,-2.431147,-8.319801,-7.585934,11.769632,27.52236,14.502748,-6.561705,4.808196,-18.048576,5.1701727,-8.631948
94,-15.637909,-22.466646,43.82622,-11.712031,-11.8262005,-2.3917866,-9.020114,-7.4877977,12.472342,27.749563,15.206048,-6.921467,4.9387536,-18.328556,5.1378527,-8.706467
95,-14.455529,-21.995504,44.043526,-10.198994,-12.619164,-0.9951359,-5.5630226,-6.3636847,14.393838,27.726278,14.962743,-6.65463,4.9394393,-18.981531,3.3357298,-8.317947
96,-14.304316,-22.851688,47.284527,-11.994882,-15.910951,-0.25870284,-5.880624,-7.749638,17.31784,30.274538,18.84269,-8.649973,3.2256467,-19.847353,2.775812,-9.604867
97,-16.226692,-21.592962,46.567795,-12.410494,-14.725393,-2.1250534,-7.0378723,-9.063553,13.569627,30.0166,17.51273,-7.979953,2.7647414,-18.845589,4.6783767,-10.063929
98,-15.604392,-21.69842,43.29072,-11.514403,-11.493033,-2.331351,-8.384602,-7.647059,11.8426,27.559267,14.565951,-6.5847244,4.7987328,-17.998896,5.1128364,-8.616456
99,-7.4494553,-32.896103,36.850334,-11.686996,-2.9610126,4.5040684,-17.374552,0.8902292,21.46321,20.861008,11.518545,-5.3190236,16.50279,-18.618284,-0.32653034,-1.5925809
100,-9.577454,-29.272648,38.605732,-13.916965,-3.9023051,4.5676546,-15.541101,-3.3192291,18.293814,23.557634,11.537884,-4.974684,13.8099,-17.129528,0.23356065,-3.0393565
101,-2.7597327,-40.184666,33.586197,-8.354155,3.0130262,2.6477385,-22.958485,5.1340117,25.920374,16.111036,7.4088235,-8.26228,24.158173,-23.865374,1.6119194,-2.8373735
102,-15.442105,-20.226477,44.52146,-9.835275,-14.519509,-3.0782979,-5.1104507,-7.3078775,12.86781,28.50246,16.199492,-7.4901185,2.4921937,-19.044292,5.222962,-9.576358
103,-10.485562,-30.147758,43.222565,-13.291016,-5.913768,4.848501,-11.294064,-4.5870686,20.583622,25.827875,12.078178,-6.244662,13.611712,-20.061687,-1.1641958,-5.710806
104,-15.4823,-20.221598,44.506317,-9.768441,-14.495585,-3.1495547,-5.087985,-7.273055,12.802335,28.468494,16.145525,-7.47192,2.505426,-19.067871,5.2696304,-9.585549
105,-15.973348,-22.00487,46.330276,-12.84756,-12.870171,-2.1077552,-7.350535,-10.200891,13.223481,29.660948,15.707578,-8.371115,4.1221967,-19.44357,4.814477,-11.189679
106,-15.443839,-23.978872,46.112896,-12.673484,-12.872792,-3.677511,-10.197683,-9.5446615,14.204171,28.932796,16.62616,-9.971477,4.781747,-20.684586,6.2986426,-12.083028
107,-15.938041,-22.106298,46.41036,-12.894309,-12.777215,-2.0744364,-7.359078,-10.280153,13.309569,29.69129,15.630974,-8.438238,4.2367196,-19.550785,4.7909064,-11.289346
108,-15.440786,-23.98028,46.116558,-12.685147,-12.871586,-3.6662467,-10.200709,-9.552399,14.209834,28.938246,16.62915,-9.971887,4.7827067,-20.6809,6.291026,-12.082202
109,-16.182919,-24.311378,46.27358,-14.173263,-12.55182,-4.044984,-12.384629,-10.622222,13.318379,29.222279,17.12079,-10.181132,4.691704,-20.06232,6.9709935,-12.342318
110,-15.974376,-23.526672,45.431774,-14.434649,-11.715106,-3.772118,-12.185608,-11.239973,12.51065,28.92943,16.198317,-9.906626,4.751522,-19.51485,6.926071,-12.365446
111,-15.941323,-22.103573,46.406116,-12.880644,-12.779718,-2.087912,-7.354654,-10.271986,13.303095,29.685192,15.628226,-8.438596,4.234334,-19.555143,4.80001,-11.291357
112,-15.970012,-22.00751,46.334507,-12.861273,-12.867727,-2.0942464,-7.354928,-10.209141,13.229979,29.667072,15.710381,-8.370811,4.124499,-19.439178,4.80536,-11.187716
113,-14.984691,-20.132036,45.82768,-11.78922,-16.058138,-0.37621227,-4.6137385,-8.080004,14.898541,30.032,18.339409,-7.30034,1.6345471,-17.939663,2.9575605,-8.656634
114,-15.567118,-21.547104,46.462532,-12.937103,-14.707884,-2.118934,-7.392495,-9.975811,14.122025,30.069494,17.72379,-8.965862,2.6504765,-19.194145,4.831157,-11.077542
115,-14.962724,-21.063128,46.720192,-12.57613,-15.94521,-0.3577655,-5.564582,-8.794879,15.538732,30.54996,18.665663,-8.032984,2.0778894,-18.556398,3.107132,-9.427761
116,-15.3447275,-20.806486,46.805935,-12.493463,-15.060741,-0.22715163,-4.7555304,-9.2475605,14.780782,30.50472,17.401388,-7.5808926,2.5780857,-18.614729,2.89556,-9.648158
117,-15.139149,-20.856342,46.599403,-12.643131,-14.954808,-0.4689292,-5.2158146,-9.513887,14.809309,30.394197,17.44877,-7.982399,2.5682054,-18.72856,3.202412,-10.025517
118,-15.702679,-20.9338,46.189003,-13.028157,-14.85614,-1.2622888,-6.8730354,-9.511153,13.808496,30.220404,17.805252,-7.893571,2.344855,-18.188293,4.1515474,-9.769678
119,-15.462053,-21.04463,46.218933,-13.232315,-14.539572,-1.2822845,-7.017216,-9.93997,13.950923,30.25553,17.541538,-8.272116,2.5706491,-18.48407,4.2646413,-10.262677
120,-14.923966,-21.094532,46.04094,-12.983681,-14.668069,-1.2926741,-6.790799,-9.920594,14.505105,30.072222,17.628849,-8.725695,2.5604248,-18.826235,4.2163305,-10.639403
121,-15.115283,-21.682789,46.870014,-12.72326,-15.908992,-1.133009,-6.792119,-8.855844,15.492932,30.520987,18.961802,-8.5840645,2.2304413,-18.95041,3.9244273,-9.868957
122,-15.523493,-20.797915,45.969776,-12.83558,-14.784144,-1.4403983,-6.704868,-9.595093,13.793388,30.034008,17.629534,-8.103435,2.3223872,-18.340523,4.2722654,-10.067821
123,-15.263911,-20.921448,46.17924,-13.014525,-14.581496,-1.5915345,-6.7374845,-10.2131,14.055974,30.164713,17.427393,-8.727406,2.485148,-18.859425,4.4760566,-10.895227
124,-15.145556,-21.075817,45.893097,-13.146895,-14.708198,-1.2770492,-7.259649,-9.675154,14.218563,30.064228,17.838661,-8.395096,2.4627268,-18.411964,4.289965,-10.117335
125,-16.140362,-22.183695,46.6313,-12.723286,-15.395533,-1.974626,-8.308457,-8.267387,14.148582,30.183887,18.776144,-7.887538,2.5532618,-18.48898,4.7539186,-9.141398
126,-14.827011,-20.694784,45.375484,-13.516576,-14.086562,-1.5914216,-7.6521463,-10.620533,13.78218,29.887247,17.29164,-8.955723,2.489409,-18.490582,4.8009863,-10.972617
127,-15.275736,-21.031096,46.056545,-13.144402,-14.664256,-1.2266439,-7.016935,-9.782837,14.13336,30.15239,17.700066,-8.314699,2.4956858,-18.44434,4.2041473,-10.175108
128,-15.23856,-21.806147,46.819405,-11.000753,-14.812064,-0.68080246,-4.2789507,-7.561518,15.337302,29.878874,16.832266,-7.313558,3.4989119,-19.565832,2.922737,-9.197618
129,-16.793694,-21.442469,45.11523,-10.976593,-11.813311,-2.5875363,-6.1180034,-8.240105,11.407089,28.483973,13.835587,-6.3487678,4.742147,-18.877766,4.8652525,-9.45241
130,-15.177726,-20.602098,46.75058,-12.621294,-15.025096,-0.09270199,-4.5452266,-9.589703,14.841858,30.538422,17.324903,-7.7381206,2.4983373,-18.610514,2.7936058,-9.90717
