CHEMBLID,smiles,ido_ic50,tdo_ic50
146,CHEMBL4278982,CCCNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200.0,2000.0
147,CHEMBL4279004,CCOC(=O)Nc1oc2c(-c3cc(C)nc(C)c3)nccc2c1Nc1ccc(F)c(Cl)c1,1000.0,2000.0
148,CHEMBL4279010,C#Cc1cccc(Nc2c(N)sc3ccccc23)c1,200.0,2000.0
149,CHEMBL4279026,Cc1cc(-c2nc(F)cc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200.0,500.0
150,CHEMBL4279040,Nc1sc2ccccc2c1Nc1ccc(F)c(F)c1,200.0,500.0
151,CHEMBL4279060,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)c(F)c1,200.0,500.0
152,CHEMBL4279220,CC(=O)N[C@@H](CC1C(=O)Nc2ccccc21)C(=O)O,620.0,83470.0
153,CHEMBL4279234,C#Cc1cccc(Nc2c(N)oc3c(C)nccc23)c1,200.0,500.0
154,CHEMBL4279253,CCOC(=O)Nc1oc2c(-c3ccncc3)nccc2c1N(C(=O)OCC)c1ccc(F)c(C(F)(F)F)c1,1000.0,2000.0
155,CHEMBL4279365,CC(=O)CC(=O)/C=C1\C(=O)Nc2ccc(Cl)cc21,190.0,39920.0
156,CHEMBL4279406,Nc1oc2cnccc2c1Nc1ccc(F)c(C(F)(F)F)c1,200.0,500.0
157,CHEMBL4279449,N#Cc1nccc2c(Nc3ccc(F)c(F)c3)c(N)oc12,200.0,500.0
158,CHEMBL4279530,Cc1cc(-c2cccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200.0,2000.0
159,CHEMBL4279536,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
160,CHEMBL4279587,Nc1oc2cnccc2c1Nc1ccc(C(F)(F)F)cc1,1000.0,500.0
161,CHEMBL4279613,Nc1sc2ccccc2c1Nc1cccc(Cl)c1,200.0,500.0
162,CHEMBL4279627,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)c(C(F)(F)F)c1,200.0,500.0
163,CHEMBL4279698,Nc1sc2c(-c3ccncc3)cccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
164,CHEMBL4279754,Nc1sc2ccc(Cl)cc2c1Nc1ccc(F)c(C(F)(F)F)c1,200.0,2000.0
165,CHEMBL4279780,Nc1oc2cnccc2c1Nc1ccc(F)c(F)c1,200.0,500.0
166,CHEMBL4279821,CCc1nccc2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200.0,500.0
167,CHEMBL4280005,Nc1sc2ccccc2c1Nc1ccc(F)cc1,200.0,2000.0
168,CHEMBL4280079,Cc1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)cc(C)n1,200.0,2000.0
169,CHEMBL4280094,N#Cc1ccc2c(Nc3ccc(F)c(Cl)c3)c(N)sc2c1,1000.0,2000.0
170,CHEMBL4280101,Nc1sc2cnc(F)cc2c1Nc1ccc(F)c(F)c1,200.0,500.0
171,CHEMBL4280108,Cc1cc(-c2nccc3c(Nc4cccc(F)c4)c(N)oc23)ccn1,200.0,500.0
172,CHEMBL4280114,Nc1oc2cnccc2c1Nc1cccc2c1CCCC2,1000.0,2000.0
173,CHEMBL4280130,Nc1oc2c(-c3cc(F)cc(F)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
174,CHEMBL4280350,Cc1cc(-c2nccc3c(Nc4ccccc4Cl)c(N)oc23)ccn1,200.0,500.0
175,CHEMBL4280480,Cc1cc(-c2nccc3c(Nc4ccccc4N4CCCCC4)c(N)oc23)ccn1,1000.0,2000.0
176,CHEMBL4280494,Cc1cc(C)cc(Nc2c(N)oc3cnccc23)c1,200.0,500.0
177,CHEMBL4280505,CCCCCNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200.0,2000.0
178,CHEMBL4280522,N#Cc1nccc2c(Nc3cc(F)cc(F)c3)c(N)oc12,1000.0,500.0
179,CHEMBL4280533,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccc(C#N)cc2)n1,200.0,2000.0
180,CHEMBL4280727,Nc1oc2c(-c3ccncc3)nccc2c1Nc1cccc(C(F)(F)F)c1,200.0,500.0
181,CHEMBL4280768,Cc1cc(-c2nc(F)cc3c(Nc4ccc(F)c(F)c4)c(N)oc23)ccn1,200.0,500.0
182,CHEMBL4280928,Nc1oc2c(-c3ccncc3)nccc2c1Nc1cc(F)cc(F)c1,200.0,500.0
183,CHEMBL4281007,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200.0,500.0
184,CHEMBL4281024,Nc1oc2cnccc2c1Nc1ccc(I)c(Cl)c1,1000.0,500.0
185,CHEMBL4281087,CC(C)(C)c1cc(Nc2c(N)oc3cnccc23)cc(C(C)(C)C)c1,1000.0,500.0
186,CHEMBL4281155,Cc1ccc2sc(N)c(Nc3ccc(F)c(F)c3)c2c1,200.0,2000.0
187,CHEMBL4281167,O=C1c2cccnc2C(=O)c2sc(-c3cscn3)nc21,22.0,321.5
188,CHEMBL4281184,Nc1oc2cnccc2c1Nc1ccc(F)c(OC(F)(F)F)c1,200.0,2000.0
189,CHEMBL4281187,C#Cc1cccc(Nc2c(N)oc3cnccc23)c1,200.0,500.0
190,CHEMBL4281233,Cc1ccccc1Cn1cnc2c1C(=O)c1ccccc1C2=O,100000.0,100000.0
191,CHEMBL4281374,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)cc4)c(N)oc23)ccn1,200.0,500.0
192,CHEMBL4281552,Nc1oc2cnccc2c1Nc1ccc(Cl)c(Cl)c1,200.0,500.0
193,CHEMBL4281561,Nc1oc2c(-c3cc(F)ccc3Cl)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
194,CHEMBL4281581,O=C1c2ncccc2C(=O)c2sc(-c3ccncc3)nc21,207.9,684.3
195,CHEMBL4281808,Nc1oc2c(-c3cccc4ccccc34)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
196,CHEMBL4281809,CCOC(=O)Nc1oc2c(-c3cccc(C#N)c3)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000.0,2000.0
197,CHEMBL4281858,Nc1oc2c(N3CCOCC3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
198,CHEMBL4281872,Nc1oc2cnc(F)cc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
199,CHEMBL4282227,Nc1sc2ccccc2c1Nc1ccc(Br)c(C(F)(F)F)c1,200.0,2000.0
200,CHEMBL4282241,CC(F)(F)c1cc(Nc2c(N)oc3cnccc23)ccc1F,200.0,2000.0
201,CHEMBL4282272,Nc1oc2cnccc2c1Nc1ccc(Cc2ccccc2)cc1,1000.0,500.0
202,CHEMBL4282281,Nc1oc2c(-c3ccncc3)nc(F)cc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
203,CHEMBL4282298,Cc1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200.0,500.0
204,CHEMBL4282402,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(F)c4)c(N)oc23)ccn1,200.0,500.0
205,CHEMBL4282546,CCc1cccc(Nc2c(N)oc3cnccc23)c1,200.0,2000.0
206,CHEMBL4282590,Cc1cc(Nc2c(N)oc3cnccc23)ccc1Cl,200.0,500.0
207,CHEMBL4282826,Nc1oc2c(-c3ccc(F)cc3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
208,CHEMBL4282888,CCOC(=O)Nc1oc2c(-c3ccnc(C)c3)nccc2c1N(C(=O)OCC)c1ccc(F)c(F)c1,1000.0,2000.0
209,CHEMBL4282901,CCc1nccc2c(Nc3ccc(F)c(C(F)(F)F)c3)c(N)oc12,200.0,2000.0
210,CHEMBL4282903,N#Cc1nccc2c(Nc3ccccc3Cl)c(N)oc12,200.0,2000.0
211,CHEMBL4283091,COc1ccc(Cl)cc1Nc1c(N)oc2cnccc12,1000.0,500.0
212,CHEMBL4283101,Nc1sc2ccccc2c1Nc1cccc(Br)c1,200.0,500.0
213,CHEMBL4283109,N[C@@H](CC1C(=O)Nc2ccccc21)C(=O)O,3390.0,60220.0
214,CHEMBL4283161,Nc1oc2cnccc2c1Nc1ccc(Oc2ccccc2)cc1,1000.0,2000.0
215,CHEMBL4283286,N#Cc1nccc2c(Nc3ccc(F)c(C(F)(F)F)c3)c(N)oc12,200.0,500.0
216,CHEMBL4283317,Nc1oc2cc([N+](=O)[O-])ccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
217,CHEMBL4283357,CCOC(=O)Nc1oc2c(-c3ccc(C(N)=O)cc3)nccc2c1Nc1ccc(F)c(Cl)c1,1000.0,2000.0
218,CHEMBL4283761,C#Cc1cccc(Nc2c(N)oc3c(CC)nccc23)c1,200.0,500.0
219,CHEMBL4283776,CCc1ccccc1Nc1c(N)sc2ccccc12.Cl,1000.0,2000.0
220,CHEMBL4283946,Nc1oc2c(/C=C/c3ccccc3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,500.0
